FieldList,FieldList,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldList.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldList.png,Local Access VBA GetImageMso:FieldList
FieldMoreFields,More Controls...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldMoreFields.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldMoreFields.png,Local Access VBA GetImageMso:MoreControlsDialog
FieldNameCaption,Define Name...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldNameCaption.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldNameCaption.png,Local Access VBA GetImageMso:NameDefine
FieldNumber,FieldNumber,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldNumber.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldNumber.png,Local Access VBA GetImageMso:Numbering
FieldRequired,Spelling...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldRequired.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldRequired.png,Local Access VBA GetImageMso:Spelling
FieldShortText,FieldShortText,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldShortText.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldShortText.png,Local Access VBA GetImageMso:TextBoxInsert
FieldSize,FieldSize,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldSize.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldSize.png,Local Access VBA GetImageMso:FieldSize
FieldUnique,Lock,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldUnique.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldUnique.png,Local Access VBA GetImageMso:Lock
FieldValidation,Data Validation...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldValidation.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldValidation.png,Local Access VBA GetImageMso:DataValidation
FieldYesNo,Checkbox,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldYesNo.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldYesNo.png,Local Access VBA GetImageMso:FormControlCheckBox
FilePrintQuick,Quick Print,E:\Sripts\Leaner tracking\Practical\Images\Access\FilePrintQuick.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FilePrintQuick.png,Local Access VBA GetImageMso:FilePrintQuick
FilterBySelection,FilterBySelection,E:\Sripts\Leaner tracking\Practical\Images\Access\FilterBySelection.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FilterBySelection.png,Local Access VBA GetImageMso:FilterBySelection
FindDialog,FindDialog,E:\Sripts\Leaner tracking\Practical\Images\Access\FindDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FindDialog.png,Local Access VBA GetImageMso:FindDialog
FontColorPicker,Font Colour,E:\Sripts\Leaner tracking\Practical\Images\Access\FontColorPicker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FontColorPicker.png,Local Access VBA GetImageMso:FontColorPicker
FormCreate,FormCreate,E:\Sripts\Leaner tracking\Practical\Images\Access\FormCreate.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FormCreate.png,Local Access VBA GetImageMso:CreateFormInDesignView
